defaultAttribution,defaultDeadweight,defaultDisplacement,defaultLeakage,defaultQuantity,defaultYearlyDropoff,financialProxyValue,indicatorName,nameOfField,outcomeIntendedness,outcomePolarity,proxyDescription,proxyName,sourceCitation,sourceCountry,sourceUrl,sourceYear,unitOfMeasurement
10,5,5,5,1,50,500,"Reduction in gang activity 
in the area",Example 1,Intended,Positive,"A (fictional) study has shown that there is
a direct correlation between gang activity 
and the amount of grafitti in the area.
It also quantifies that sanation of an average piece of grafitti (at least 50x50cm) 
costs 500 €.",Less grafitti in the area,"Lindley, J., & Coulton, P. (2016, May). Pushing the limits of design fiction: The case for fictional research papers. In Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems (pp. 4032-4043).",Slovenia,https://www.myfictionalurl.org,2022,"Individual grafitti less 
(per year)"
25,10,5,25,1,15,72,Emissions reduction,Example 2,Intended,Positive,"Business as Usual Scenario from 2011 
estimates the social cost of carbon.",Social cost of Carbon,"Hope, C. (2011). The social cost of CO2 from the PAGE09 model. Economics discussion paper, (2011-39).",??,http://www.economics-ejournal.org/economics/discussionpapers/2011-39,2011,"Ton of emitted 
carbon"
0,0,0,0,1,0,5000,Improved Job Satisfaction (Value to SME) ,Job satisfaction,Intended,Positive,Average recruitment cost to replace a member of staff assuming in-house recrutiment,Average Recruitment cost ,"Recruitment, retention, turnover, annual, survey 2011 (UK)",UK,http://seroi.plus/,2011,EUR Per person (one off) – need to look at business staff turnover rates
0,0,0,0,1,0,6000,Job Satisfaction (for employer),Job satisfaction,Intended,Positive,"Improved
productivity (with introduction of job appraisal and reward scheme – with
current as baseline)",Average Staff productivity increase ,Adapted from Journal of Managerial Science (US) 2014,US,http://seroi.plus/,2014,Rate depends on salary (assume uniform across salary range for this exercise )
0,0,0,0,1,0,72,Social cost of Carbon emissions,Carbon (Emissions reduction),Intended,Positive,"The social cost of carbon (SCC) is the marginal cost of the impacts caused by emitting one extra tonne of greenhouse gas (carbon dioxide equivalent) at any point in time, inclusive of 'non-market' impacts on the environment and human health.",Social cost of Carbon,"Chris W Hope, 2011. ""The Social Cost of CO2 from the PAGE09 Model""",,http://www.economics-ejournal.org/economics/discussionpapers/2011-39/,2011,EUR per tonne
0,0,0,0,1,0,0.36,Employer cost of road transport  for staff,Carbon (Emissions reduction),Intended,Positive,Figure used for calculating reimbursemetn and tax deductions for km travelled,Cost per km of road transport for staff,Most Ministries of finance have a table for tax returns,,http://seroi.plus/,2022,Cents per Km
0,0,0,0,1,0,88.48,EC Trading cost of carbon - CO2 ,Carbon (Emissions reduction),Intended,Positive,Trading cost of carbon - CO2 European Emission Allowance,EU Trading cost of carbon per tonne,European Commission (Values vary by day) – 16/05/2022 ,,http://seroi.plus/,2022,EUR per tonne
0,0,0,0,1,0,0.15,Cost to business of Waste Going to Landfill,Other Environmental (Waste reduction and re-cycling-circular economy),Intended,Positive,"Waste
Reductions: Supplier Business Weight reductions of Waste Going to Landfill",Cost per KG of collected waste going to landfill,Based on Irish EPA Minimum Rates for waste collection https://www.epa.ie/,Ireland,http://seroi.plus/,2022,EUR wastre per Kg
0,0,0,0,1,0,1.83,Use of Re-cycled Wood,Other Environmental (Waste reduction and re-cycling-circular economy),Intended,Positive,"the cost of carbon saved by recycling goods.
This proxy is based on the carbon savings from recycling (not waste prevention ",carbon saving from re-cycling/re-using wood,Citation in APA format,EU,aggregain.wrap.org.uk/sustainability/try_a_sustainability_tool/co2_emissions.html,2022,EUR per tonne
0,0,0,0,1,0,6412,Professional Vocation Qualification and adult learner well-being,SKILLS Increased business skills as a result of increased certified digital Skills,Intended,Positive,The value of obtaining a Professional Vocation Qualification (undertaken part-time) for an adult learner,Value of Professional Vocation Qualification (undertaken part-time),Citation in APA format,EU,http://seroi.plus/,2022,EUR per Year
